ID,Severity,Start_Lat,Start_Lng,State,cluster
A-29775,2,37.145508,-121.98496999999999,CA,0
A-30327,3,38.242306,-122.08653999999999,CA,0
A-30332,3,37.690468,-122.08898899999998,CA,0
A-30725,2,36.97517,-121.893074,CA,0
A-31124,2,38.641715999999995,-121.410698,CA,0
A-31465,2,37.428416999999996,-122.10138700000002,CA,0
A-31761,3,38.031738,-122.117157,CA,0
A-32119,2,38.737137,-120.717491,CA,0
A-32207,2,38.437958,-122.78817,CA,0
A-32412,2,37.848602,-122.235176,CA,0
A-33195,2,38.640011,-121.30017099999999,CA,0
A-33499,2,38.551722999999996,-121.41869399999999,CA,0
A-33698,2,37.475147,-122.20909099999999,CA,0
A-33738,2,37.513538,-122.48768600000001,CA,0
A-34207,2,38.496390999999996,-121.446472,CA,0
A-34238,2,38.668312,-121.33666200000002,CA,0
A-34288,3,38.661823,-121.53658300000001,CA,0
A-34410,2,37.63028,-122.115051,CA,0
A-34617,2,38.189774,-120.83036799999999,CA,0
A-35038,2,37.582264,-122.252853,CA,0
A-35254,2,37.505177,-122.35826100000001,CA,0
A-35261,2,38.411682,-122.794876,CA,0
A-35279,2,37.977917,-121.996284,CA,0
A-35445,2,37.689644,-122.062302,CA,0
A-35663,2,37.458302,-122.137375,CA,0
A-36249,2,38.563217,-121.471443,CA,0
A-36802,2,37.215031,-121.988029,CA,0
A-37512,2,38.047489,-122.53281399999999,CA,0
A-37622,3,37.33427800000001,-122.02533000000001,CA,0
A-39003,3,38.270554,-122.051903,CA,0
A-39083,2,37.691395,-122.10881,CA,0
A-39543,3,37.905491,-122.06965600000001,CA,0
A-39607,2,37.294579,-121.87278700000002,CA,0
A-39634,2,38.334606,-122.73888400000001,CA,0
A-39726,3,37.584793,-122.40715800000001,CA,0
A-40032,3,37.660385,-122.10404199999999,CA,0
A-40218,3,38.661784999999995,-121.536224,CA,0
A-40897,2,38.097640999999996,-121.35221100000001,CA,0
A-41050,3,38.538959999999996,-121.73679399999999,CA,0
A-42350,2,37.832607,-122.21696499999999,CA,0
A-42502,3,37.388535,-122.157417,CA,0
A-43090,3,33.759808,-118.02471200000001,CA,5
A-43259,2,34.119045,-118.162453,CA,5
A-43769,2,32.701214,-117.120659,CA,5
A-44691,2,33.82925,-117.460365,CA,5
A-45298,2,34.169059999999995,-118.612679,CA,5
A-45580,3,34.133472,-117.95383500000001,CA,5
A-45805,2,32.690407,-117.16705300000001,CA,5
A-46051,2,33.870018,-118.05536699999999,CA,5
A-46503,2,33.866283,-117.717133,CA,5
A-46726,2,32.725128000000005,-117.15943899999999,CA,5
A-46787,2,32.753128000000004,-117.15781399999999,CA,5
A-46868,2,34.125004,-117.993301,CA,5
A-47207,3,32.881088,-117.20149199999999,CA,5
A-47832,2,34.050419,-118.100769,CA,5
A-47960,3,34.247803000000005,-118.425835,CA,5
A-48449,2,34.17054,-118.501099,CA,5
A-48835,2,33.889988,-117.50985700000001,CA,5
A-48887,2,34.165508,-118.492355,CA,5
A-49184,3,34.000633,-118.174973,CA,5
A-49312,2,33.822514,-117.876297,CA,5
A-49323,2,32.690437,-117.018478,CA,5
A-49438,2,33.308559,-117.228004,CA,5
A-49474,2,33.956965999999994,-118.23966999999999,CA,5
A-50485,2,33.778751,-117.895981,CA,5
A-50556,2,33.980587,-118.43898,CA,5
A-50560,2,34.024986,-117.757668,CA,5
A-50883,3,32.858021,-117.184334,CA,5
A-51143,3,33.960583,-118.08625,CA,5
