ID,Severity,Start_Lat,Start_Lng,cluster
A-1345,2,37.238255,-121.969025,6
A-1348,3,37.8997,-122.316704,6
A-1391,1,36.831322,-121.43517299999999,6
A-1401,2,37.255756,-121.87595400000001,6
A-1406,3,38.679146,-121.34016399999999,6
A-1440,3,38.592022,-121.55194099999999,6
A-1449,2,38.524895,-121.467789,6
A-1480,3,37.956226,-121.32159399999999,6
A-1484,2,37.343636,-121.90201599999999,6
A-1490,3,37.739334,-121.59082,6
A-1503,2,37.705116,-121.90906499999998,6
A-1523,3,38.540779,-121.51091799999999,6
A-1525,2,37.769375,-122.405533,6
A-1558,2,37.317539000000004,-121.931747,6
A-1561,2,38.740063,-120.69681499999999,6
A-1574,2,38.241405,-121.51239,6
A-1579,3,37.74382,-122.19933300000001,6
A-1584,3,38.8764,-121.129929,6
A-1633,2,38.247784,-122.62973000000001,6
A-1644,2,37.335892,-121.84821299999999,6
A-1692,2,38.628674,-121.38297299999999,6
A-1694,2,38.703869,-121.36365500000001,6
A-1717,2,38.642746,-121.12338999999999,6
A-1718,3,37.964698999999996,-122.324921,6
A-1740,3,37.753693,-122.151398,6
A-1760,2,37.791451,-120.88456699999999,6
A-1762,2,38.057987,-122.531342,6
A-1775,3,37.317062,-121.97492199999999,6
A-1791,2,38.017371999999995,-121.09558899999999,6
A-1804,2,38.599585999999995,-121.34201000000002,6
A-1808,2,38.663918,-121.225723,6
A-1825,3,37.784817,-121.30677800000001,6
A-1843,3,37.76332100000001,-122.216202,6
A-1844,3,37.653599,-121.89807900000001,6
A-1888,2,37.437992,-122.20253799999999,6
A-1908,3,37.708939,-121.72368600000001,6
A-1917,2,37.294281,-121.938446,6
A-1925,3,38.216862,-122.13784,6
A-1932,2,38.328682,-122.71264599999999,6
A-1996,2,37.678638,-122.128578,6
A-2036,2,37.720791,-122.400223,6
A-2065,2,38.141490999999995,-122.23670200000001,6
A-2072,2,38.496132,-121.441521,6
A-2100,2,38.27243,-122.67028799999999,6
